date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2001-02-12,sh.600016,0.6234331500,0.6356428200,0.6171433200,0.6300929700,0.6234331500,2558216,43340392.0000,0.730919,1.068251,125.534722,16.948549,27.104647,9.727697
2001-02-13,sh.600016,0.6308329500,0.6326829000,0.6234331500,0.6256530900,0.6300929700,1146940,19476376.0000,0.327697,-0.704644,124.650156,16.829123,26.913657,9.659152
2001-02-14,sh.600016,0.6256530900,0.6289830000,0.6215832000,0.6238031400,0.6256530900,1198470,20191834.0000,0.342420,-0.295679,124.281586,16.779363,26.834078,9.630592
2001-02-15,sh.600016,0.6215832000,0.6252831000,0.6160333500,0.6178833000,0.6238031400,1250299,20906948.0000,0.357228,-0.948991,123.102164,16.620128,26.579424,9.539198
2001-02-16,sh.600016,0.6175133100,0.6178833000,0.6049336500,0.6112234800,0.6178833000,3395513,56122872.0000,0.970147,-1.077846,121.775315,16.440989,26.292940,9.436380
2001-02-19,sh.600016,0.6104835000,0.6215832000,0.6104835000,0.6197332500,0.6112234800,975907,16253685.0000,0.278831,1.392249,123.470734,16.669889,26.659003,9.567759
2001-02-20,sh.600016,0.6252831000,0.6275030400,0.6134434200,0.6149233800,0.6197332500,1738178,29093432.0000,0.496622,-0.776114,122.512453,16.540510,26.452098,9.493501
2001-02-21,sh.600016,0.6149233800,0.6167733300,0.5997537900,0.6030837000,0.6149233800,3196293,52348617.0000,0.913227,-1.925401,120.153609,16.222041,25.942791,9.310714
2001-02-22,sh.600016,0.5993838000,0.6060436200,0.5956839000,0.5979038400,0.6030837000,1694960,27521630.0000,0.484274,-0.858892,119.121615,16.082711,25.719970,9.230745
2001-02-23,sh.600016,0.5979038400,0.6141834000,0.5975338500,0.6134434200,0.5979038400,1516896,24631630.0000,0.433399,2.599010,122.217598,16.500702,26.388435,9.470653
2001-02-26,sh.600016,0.6141834000,0.6215832000,0.6104835000,0.6156633600,0.6134434200,1771453,29424621.0000,0.506129,0.361879,122.659881,16.560415,26.483929,9.504926
2001-02-27,sh.600016,0.6160333500,0.6175133100,0.6093735300,0.6112234800,0.6156633600,1225605,20255998.0000,0.350173,-0.721148,121.775315,16.440989,26.292940,9.436380
2001-02-28,sh.600016,0.6115934700,0.6127034400,0.6060436200,0.6067836000,0.6112234800,1346680,22138561.0000,0.384766,-0.726397,120.890748,16.321563,26.101950,9.367835
2001-03-01,sh.600016,0.6067836000,0.6178833000,0.6060436200,0.6101135100,0.6067836000,1030162,16994048.0000,0.294332,0.548781,121.554173,16.411132,26.245192,9.419244
2001-03-02,sh.600016,0.6141834000,0.6460025400,0.6097435200,0.6326829000,0.6101135100,12850731,220527943.0000,3.671637,3.699215,126.050719,17.018215,27.216057,9.767682
2001-03-05,sh.600016,0.6334228800,0.6419326500,0.6289830000,0.6297229800,0.6326829000,4245509,72816189.0000,1.213003,-0.467836,125.461008,16.938597,27.088731,9.721985
2001-03-06,sh.600016,0.6297229800,0.6419326500,0.6238031400,0.6367527900,0.6297229800,3646435,62317629.0000,1.041839,1.116326,126.861572,17.127689,27.391131,9.830515
2001-03-07,sh.600016,0.6363828000,0.6493324500,0.6312029400,0.6411926700,0.6367527900,6274868,109299386.0000,1.792819,0.697274,127.746138,17.247115,27.582121,9.899060
2001-03-08,sh.600016,0.6404526900,0.6652420200,0.6393427200,0.6552522900,0.6411926700,15669086,277433665.0000,4.476882,2.192724,130.547265,17.625297,28.186923,10.116120
2001-03-09,sh.600016,0.6600621600,0.6604321500,0.6441525900,0.6511824000,0.6552522900,5155089,90769743.0000,1.472883,-0.621111,129.736413,17.515823,28.011848,10.053287
2001-03-12,sh.600016,0.6511824000,0.6537723300,0.6400827000,0.6426726300,0.6511824000,2329277,40631386.0000,0.665508,-1.306816,128.040994,17.286923,27.645785,9.921908
2001-03-13,sh.600016,0.6400827000,0.6460025400,0.6326829000,0.6363828000,0.6426726300,3061589,52771152.0000,0.874740,-0.978699,126.787858,17.117736,27.375216,9.824803
2001-03-14,sh.600016,0.6356428200,0.6563622600,0.6334228800,0.6489624600,0.6363828000,4752062,83491699.0000,1.357732,1.976745,129.294129,17.456110,27.916354,10.019014
2001-03-15,sh.600016,0.6437826000,0.6493324500,0.6400827000,0.6423026400,0.6489624600,2681971,46708411.0000,0.766277,-1.026227,127.967280,17.276971,27.629869,9.916196
2001-03-16,sh.600016,0.6423026400,0.6511824000,0.6363828000,0.6400827000,0.6423026400,2577438,44755680.0000,0.736411,-0.345630,127.524997,17.217258,27.534374,9.881924
2001-03-19,sh.600016,0.6400827000,0.6434126100,0.6345328500,0.6419326500,0.6400827000,2308133,39829377.0000,0.659467,0.289024,127.893566,17.267019,27.613953,9.910484
2001-03-20,sh.600016,0.6423026400,0.6474825000,0.6374927700,0.6445225800,0.6419326500,1674675,29082725.0000,0.478479,0.403456,128.409563,17.336684,27.725364,9.950469
2001-03-21,sh.600016,0.6445225800,0.6652420200,0.6437826000,0.6571022400,0.6445225800,9207914,163563750.0000,2.630833,1.951780,130.915835,17.675058,28.266502,10.144680
2001-03-22,sh.600016,0.6608021400,0.6652420200,0.6567322500,0.6604321500,0.6571022400,7989501,142600811.0000,2.282715,0.506758,131.579259,17.764628,28.409744,10.196089
2001-03-23,sh.600016,0.6604321500,0.6622821000,0.6430426200,0.6434126100,0.6604321500,5048282,88937142.0000,1.442366,-2.577036,128.188421,17.306828,27.677616,9.933333
2001-03-26,sh.600016,0.6430426200,0.6589521900,0.6423026400,0.6511824000,0.6434126100,3847181,67998935.0000,1.099195,1.207596,129.736413,17.515823,28.011848,10.053287
2001-03-27,sh.600016,0.6545123100,0.6604321500,0.6474825000,0.6545123100,0.6511824000,2306024,40622708.0000,0.658864,0.511364,130.399837,17.605393,28.155091,10.104695
2001-03-28,sh.600016,0.6545123100,0.6585822000,0.6504424200,0.6556222800,0.6545123100,4105390,72528135.0000,1.172969,0.169580,130.620979,17.635249,28.202838,10.121832
2001-03-29,sh.600016,0.6582122100,0.6785616600,0.6582122100,0.6682019400,0.6556222800,12606861,228702942.0000,3.601960,1.918737,133.127251,17.973623,28.743976,10.316043
2001-03-30,sh.600016,0.6696819000,0.6763417200,0.6689419200,0.6719018400,0.6682019400,5821440,105771351.0000,1.663269,0.553712,133.864389,18.073145,28.903135,10.373164
2001-04-02,sh.600016,0.6907713300,0.7011310500,0.6837415200,0.6911413200,0.6719018400,15147878,283220132.0000,4.327965,2.863439,75.311218,5.390669,19.153217,8.697201
2001-04-03,sh.600016,0.6911413200,0.6963211800,0.6863314500,0.6959511900,0.6911413200,6876691,128292556.0000,1.964769,0.695927,75.835333,5.428185,19.286510,8.757727
2001-04-04,sh.600016,0.6963211800,0.7085308500,0.6848514900,0.6881814000,0.6959511900,13785004,260210311.0000,3.938573,-1.116423,74.988686,5.367583,19.071190,8.659954
2001-04-05,sh.600016,0.6874414200,0.7011310500,0.6848514900,0.7003910700,0.6881814000,5124336,95928206.0000,1.464096,1.774193,76.319131,5.462814,19.409550,8.813598
2001-04-06,sh.600016,0.7026110100,0.7059409200,0.6955812000,0.6981711300,0.7003910700,3888545,73435666.0000,1.111013,-0.316954,76.077232,5.445500,19.348030,8.785663
2001-04-09,sh.600016,0.6974311500,0.7015010400,0.6937312500,0.6981711300,0.6981711300,2970480,55840074.0000,0.848709,0.000000,76.077232,5.445500,19.348030,8.785663
2001-04-10,sh.600016,0.6996510900,0.7107507900,0.6996510900,0.7085308500,0.6981711300,6154446,117671034.0000,1.758413,1.483830,77.206094,5.526302,19.635123,8.916028
2001-04-11,sh.600016,0.7096408200,0.7159306500,0.7059409200,0.7118607600,0.7085308500,7283787,140281486.0000,2.081082,0.469975,77.568942,5.552274,19.727403,8.957931
2001-04-12,sh.600016,0.7133407200,0.7140807000,0.7044609600,0.7048309500,0.7118607600,5170241,99149207.0000,1.477212,-0.987529,76.802929,5.497444,19.532590,8.869469
2001-04-13,sh.600016,0.7052009400,0.7122307500,0.6955812000,0.7059409200,0.7048309500,6018968,114123503.0000,1.719705,0.157484,76.923878,5.506101,19.563350,8.883436
2001-04-16,sh.600016,0.7059409200,0.7085308500,0.7018710300,0.7037209800,0.7059409200,5483183,104306508.0000,1.566624,-0.314463,76.681979,5.488787,19.501830,8.855501
2001-04-17,sh.600016,0.7037209800,0.7037209800,0.6966911700,0.6985411200,0.7037209800,4005602,75651807.0000,1.144458,-0.736074,76.117548,5.448385,19.358284,8.790319
2001-04-18,sh.600016,0.6985411200,0.7022410200,0.6944712300,0.6985411200,0.6985411200,4014759,75688459.0000,1.147074,0.000000,76.117548,5.448385,19.358284,8.790319
2001-04-19,sh.600016,0.6978011400,0.6992811000,0.6844815000,0.6918813000,0.6985411200,5351111,99842045.0000,1.528889,-0.953381,75.391851,5.396441,19.173724,8.706513
2001-04-20,sh.600016,0.6911413200,0.7026110100,0.6863314500,0.6870714300,0.6918813000,4858620,91125686.0000,1.388177,-0.695193,74.867737,5.358926,19.040430,8.645986
2001-04-23,sh.600016,0.6807816000,0.6863314500,0.6759717300,0.6841115100,0.6870714300,4179495,76915314.0000,1.194141,-0.430802,74.545205,5.335839,18.958404,8.608739
2001-04-24,sh.600016,0.6844815000,0.6900313500,0.6833715300,0.6874414200,0.6841115100,2116250,39203856.0000,0.604643,0.486750,74.908053,5.361811,19.050684,8.650642
2001-04-25,sh.600016,0.6874414200,0.6911413200,0.6652420200,0.6715318500,0.6874414200,6572426,119565170.0000,1.877836,-2.314318,73.174444,5.237722,18.609791,8.450439
2001-04-26,sh.600016,0.6704218800,0.6807816000,0.6670919700,0.6756017400,0.6715318500,2791571,50925536.0000,0.797592,0.606064,73.617925,5.269466,18.722577,8.501653
2001-04-27,sh.600016,0.6756017400,0.6874414200,0.6733818000,0.6826315500,0.6756017400,3071929,56699090.0000,0.877694,1.040529,74.383939,5.324296,18.917390,8.590115
2001-04-30,sh.600016,0.6826315500,0.6911413200,0.6826315500,0.6889213800,0.6826315500,3170743,58878349.0000,0.905927,0.921410,75.069319,5.373355,19.091697,8.669265
2001-05-08,sh.600016,0.6889213800,0.6926212800,0.6874414200,0.6915113100,0.6889213800,2115583,39491112.0000,0.604452,0.375938,75.351535,5.393555,19.163470,8.701857
2001-05-09,sh.600016,0.6937312500,0.7029810000,0.6918813000,0.6978011400,0.6915113100,3262135,61565037.0000,0.932039,0.909578,76.036915,5.296492,19.337777,8.781007
2001-05-10,sh.600016,0.6974311500,0.7018710300,0.6955812000,0.6974311500,0.6978011400,2426769,45853557.0000,0.693363,-0.053023,75.996599,5.293684,19.327524,8.776351
2001-05-11,sh.600016,0.6978011400,0.7000210800,0.6915113100,0.6952112100,0.6974311500,2085612,39124076.0000,0.595889,-0.318300,75.754700,5.276834,19.266004,8.748416
2001-05-14,sh.600016,0.7029810000,0.7196305500,0.7015010400,0.7107507900,0.6952112100,11813247,227296609.0000,3.375213,2.235222,77.447993,5.394784,19.696643,8.943963
2001-05-15,sh.600016,0.7140807000,0.7177806000,0.7066809000,0.7089008400,0.7107507900,5044827,97205875.0000,1.441379,-0.260277,77.246410,5.380742,19.645377,8.920683
2001-05-16,sh.600016,0.7103808000,0.7281403200,0.7103808000,0.7225904700,0.7089008400,10833288,211189476.0000,3.095225,1.931111,78.738121,5.484650,20.024750,9.092951
2001-05-17,sh.600016,0.7244404200,0.7270303500,0.7163006400,0.7214805000,0.7225904700,6028683,117702776.0000,1.722481,-0.153613,78.617171,5.476225,19.993990,9.078984
2001-05-18,sh.600016,0.7214805000,0.7237004400,0.7170406200,0.7214805000,0.7214805000,4259571,83019344.0000,1.217020,0.000000,78.617171,5.476225,19.993990,9.078984
2001-05-21,sh.600016,0.7262903700,0.7407199800,0.7262903700,0.7377600600,0.7214805000,12250095,244319805.0000,3.500027,2.256413,80.391097,5.599791,20.445136,9.283843
2001-05-22,sh.600016,0.7377600600,0.7377600600,0.7377600600,0.7377600600,0.7377600600,0,0.0000,,0.000000,80.391097,5.599791,20.445136,9.283843
2001-05-23,sh.600016,0.7214805000,0.7373900700,0.7170406200,0.7336901700,0.7377600600,4595977,90707222.0000,1.313136,-0.551658,79.947616,5.568900,20.332350,9.232628
2001-05-24,sh.600016,0.7366500900,0.7514496900,0.7355401200,0.7440498900,0.7336901700,6577607,132308801.0000,1.879316,1.412005,81.076477,5.647532,20.619443,9.362993
2001-05-25,sh.600016,0.7466398200,0.7488597600,0.7288803000,0.7366500900,0.7440498900,4299315,85713088.0000,1.228376,-0.994534,80.270147,5.591366,20.414376,9.269875
2001-05-28,sh.600016,0.7410899700,0.7473798000,0.7292502900,0.7333201800,0.7366500900,3790025,75574904.0000,1.082864,-0.452035,79.907299,5.566091,20.322096,9.227972
2001-05-29,sh.600016,0.7344301500,0.7396100100,0.7307302500,0.7348001400,0.7333201800,3972962,78969981.0000,1.135132,0.201821,80.068565,5.577324,20.363110,9.246596
2001-05-30,sh.600016,0.7362801000,0.7436799000,0.7348001400,0.7429399200,0.7348001400,7309243,146219372.0000,2.088355,1.107751,80.955528,5.639108,20.588683,9.349025
2001-05-31,sh.600016,0.7531295000,0.7604178500,0.7458411500,0.7579884000,0.7429258100,10565742,164464564.0000,2.322141,2.027472,81.761858,5.695274,20.793749,9.442143
2001-06-01,sh.600016,0.7579884000,0.7915148100,0.7579884000,0.7842264600,0.7579884000,16226530,260177750.0000,3.566270,3.461532,84.592076,5.892418,21.513533,9.768986
2001-06-04,sh.600016,0.7895712500,0.8094927400,0.7779098900,0.7803393400,0.7842264600,16045138,261957537.0000,3.526404,-0.495663,84.172784,5.863212,21.406898,9.720565
2001-06-05,sh.600016,0.7817970100,0.7885994700,0.7735368800,0.7774240000,0.7803393400,7932286,127116403.0000,1.743360,-0.373596,83.858316,5.841307,21.326923,9.684249
2001-06-06,sh.600016,0.7774240000,0.7793675600,0.7652767500,0.7725651000,0.7774240000,6922896,109736722.0000,1.521516,-0.625002,83.334201,5.804798,21.193629,9.623723
2001-06-07,sh.600016,0.7725651000,0.7813111200,0.7652767500,0.7764522200,0.7725651000,4780816,75954331.0000,1.050729,0.503144,83.753493,5.834005,21.300264,9.672144
2001-06-08,sh.600016,0.7774240000,0.7774240000,0.7686779800,0.7720792100,0.7764522200,2984852,47399728.0000,0.656011,-0.563199,83.281790,5.801148,21.180300,9.617670
2001-06-11,sh.600016,0.7725651000,0.7749945500,0.7579884000,0.7594460700,0.7720792100,5097880,80207015.0000,1.120413,-1.636251,81.919092,5.706226,20.833737,9.460301
2001-06-12,sh.600016,0.7589601800,0.7686779800,0.7560448400,0.7643049700,0.7594460700,3550897,55814839.0000,0.780417,0.639792,82.443207,5.742735,20.967031,9.520828
2001-06-13,sh.600016,0.7652767500,0.7677062000,0.7594460700,0.7628473000,0.7643049700,3236600,50806746.0000,0.711341,-0.190717,82.285972,5.731782,20.927043,9.502670
2001-06-14,sh.600016,0.7628473000,0.7677062000,0.7521577200,0.7550730600,0.7628473000,4867149,76009320.0000,1.069703,-1.019107,81.447389,5.673369,20.713773,9.405827
2001-06-15,sh.600016,0.7531295000,0.7565307300,0.7458411500,0.7497282700,0.7550730600,4694415,72375265.0000,1.031740,-0.707848,80.870863,5.633210,20.567151,9.339248
2001-06-18,sh.600016,0.7492423800,0.7492423800,0.7200889800,0.7244619900,0.7497282700,6292131,94419354.0000,1.382886,-3.370061,78.145468,5.443368,19.874026,9.024510
2001-06-19,sh.600016,0.7230043200,0.7268914400,0.7171736400,0.7239761000,0.7244619900,2654655,39398248.0000,0.583441,-0.067071,78.093057,5.439717,19.860697,9.018457
2001-06-20,sh.600016,0.7239761000,0.7346656800,0.7239761000,0.7259196600,0.7239761000,1969515,29519877.0000,0.432860,0.268456,78.302702,5.454320,19.914014,9.042668
2001-06-21,sh.600016,0.7283491100,0.7288350000,0.7230043200,0.7268914400,0.7259196600,2366790,35334452.0000,0.520174,0.133872,78.407525,5.461622,19.940673,9.054773
2001-06-22,sh.600016,0.7288350000,0.7375810200,0.7278632200,0.7366092400,0.7268914400,3315362,49976732.0000,0.728651,1.336897,79.455754,5.534638,20.207259,9.175826
2001-06-25,sh.600016,0.7385528000,0.7429258100,0.7317503400,0.7390386900,0.7366092400,2487482,37682813.0000,0.546699,0.329817,79.717811,5.552892,20.273906,9.206090
2001-06-26,sh.600016,0.7395245800,0.7434117000,0.7288350000,0.7341797900,0.7390386900,2617967,39596351.0000,0.575377,-0.657465,79.193697,5.516384,20.140612,9.145563
2001-06-27,sh.600016,0.7336939000,0.7366092400,0.7288350000,0.7288350000,0.7341797900,1874344,28195168.0000,0.411944,-0.727993,78.617171,5.476225,19.993990,9.078984
